mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.32783691088358563,0.057694723006324576,0.09795824686686198,0.020579200206817774,2,100,"{'clf__max_depth': 2, 'clf__n_estimators': 100}",0.7773109243697479,0.7805907172995781,0.7890295358649789,0.7823103925114349,0.00493622162993427,25
0.5149470965067545,0.011157032596369453,0.09597285588582356,0.0039369921784865695,2,200,"{'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7773109243697479,0.7805907172995781,0.7974683544303798,0.7851233320332351,0.008831343571059498,23
0.6818242867787679,0.006615220474240688,0.1025555928548177,0.006800112705891509,2,300,"{'clf__max_depth': 2, 'clf__n_estimators': 300}",0.7773109243697479,0.7805907172995781,0.8016877637130801,0.7865298017941353,0.010801608447133413,22
0.870039701461792,0.007657097976655183,0.11736822128295898,0.008959812876373197,2,400,"{'clf__max_depth': 2, 'clf__n_estimators': 400}",0.7773109243697479,0.7805907172995781,0.8059071729957806,0.7879362715550355,0.012777695002369596,21
0.9704122543334961,0.08684751599348532,0.1404728094736735,0.02969765829213882,2,500,"{'clf__max_depth': 2, 'clf__n_estimators': 500}",0.7773109243697479,0.7805907172995781,0.7932489451476793,0.7837168622723351,0.0068719096507673235,24
0.307982603708903,0.0607361989491773,0.10584878921508789,0.017852214085381773,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.819327731092437,0.8185654008438819,0.810126582278481,0.8160065714049333,0.004169411704894204,20
0.47384389241536456,0.04931480698734767,0.09166733423868816,0.003918851560313971,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.819327731092437,0.8185654008438819,0.8143459915611815,0.8174130411658335,0.002190948319794006,19
0.6141353448232015,0.018657617171132512,0.10271032651265462,0.006061947168974213,3,300,"{'clf__max_depth': 3, 'clf__n_estimators': 300}",0.819327731092437,0.8185654008438819,0.8185654008438819,0.8188195109267337,0.0003593659255046244,18
0.8190952142079672,0.018115568733216885,0.12416934967041016,0.013332963607463543,3,400,"{'clf__max_depth': 3, 'clf__n_estimators': 400}",0.819327731092437,0.8185654008438819,0.8227848101265823,0.8202259806876336,0.001835936259820968,17
1.0386051336924236,0.06732473918506762,0.12459317843119304,0.00722254348088227,3,500,"{'clf__max_depth': 3, 'clf__n_estimators': 500}",0.8235294117647058,0.8185654008438819,0.8227848101265823,0.8216265409117233,0.002185793797240491,16
0.27531862258911133,0.03962132913070234,0.08688497543334961,0.012300434853726321,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.8151260504201681,0.8312236286919831,0.8185654008438819,0.8216383599853444,0.006921720160390098,13
0.44133392969767254,0.016031431338161466,0.0998547871907552,0.01112845309986993,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.819327731092437,0.8312236286919831,0.8227848101265823,0.8244453899703341,0.004996414647046275,11
0.6593171755472819,0.07642060498565595,0.09341049194335938,0.0021439327504623826,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.819327731092437,0.8312236286919831,0.8312236286919831,0.8272583294921344,0.005607779907293225,5
0.8718539873758951,0.08736843362421554,0.16884469985961914,0.008632228145159652,4,400,"{'clf__max_depth': 4, 'clf__n_estimators': 400}",0.819327731092437,0.8312236286919831,0.8227848101265823,0.8244453899703341,0.004996414647046275,11
1.018126408259074,0.019543232079752393,0.12145074208577473,0.006295539533506671,4,500,"{'clf__max_depth': 4, 'clf__n_estimators': 500}",0.819327731092437,0.8312236286919831,0.8143459915611815,0.8216324504485338,0.007080369917950562,15
0.2436488469441732,0.006074285626340419,0.07609216372172038,0.005763256150872527,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.8235294117647058,0.8312236286919831,0.8312236286919831,0.828658889716224,0.0036270886434653675,4
0.4595232804616292,0.0575064984042151,0.09682981173197429,0.012263473853487222,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.8151260504201681,0.8270042194092827,0.8227848101265823,0.8216383599853443,0.004916535743674918,14
0.7558065255482992,0.10742553263117811,0.11407637596130371,0.02217613451426042,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.819327731092437,0.8312236286919831,0.8312236286919831,0.8272583294921344,0.005607779907293225,5
0.8168634573618571,0.021807231300609697,0.11770788828531902,0.004867025361877986,5,400,"{'clf__max_depth': 5, 'clf__n_estimators': 400}",0.819327731092437,0.8354430379746836,0.8270042194092827,0.8272583294921344,0.0065814997241207054,5
1.0575613180796306,0.050305805499837264,0.1176770528157552,0.006703859515304007,5,500,"{'clf__max_depth': 5, 'clf__n_estimators': 500}",0.819327731092437,0.8270042194092827,0.8354430379746836,0.8272583294921344,0.0065814997241207054,5
0.27721556027730304,0.00229441239237373,0.0867607593536377,0.005103108315261133,6,100,"{'clf__max_depth': 6, 'clf__n_estimators': 100}",0.8235294117647058,0.8227848101265823,0.8396624472573839,0.8286588897162241,0.007786626005362725,3
0.5225005944569906,0.022190048297825428,0.0901947816212972,0.00461470807306073,6,200,"{'clf__max_depth': 6, 'clf__n_estimators': 200}",0.8235294117647058,0.8227848101265823,0.8354430379746836,0.827252419955324,0.005799613524719743,9
0.7186760902404785,0.010006240493498082,0.08968671162923177,0.0003816469760876084,6,300,"{'clf__max_depth': 6, 'clf__n_estimators': 300}",0.8277310924369747,0.8227848101265823,0.8312236286919831,0.8272465104185134,0.003462131279467424,10
