mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.33184178670247394,0.017830166188776503,0.10995729764302571,0.02265613322273146,2,100,"{'clf__max_depth': 2, 'clf__n_estimators': 100}",0.7773109243697479,0.7805907172995781,0.7890295358649789,0.7823103925114349,0.00493622162993427,16
0.5248012542724609,0.008699160241584979,0.11798318227132161,0.003434151343798059,2,200,"{'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7773109243697479,0.7805907172995781,0.7974683544303798,0.7851233320332351,0.008831343571059498,15
0.7275217374165853,0.02148626925865281,0.11979794502258301,0.004638997793773404,2,300,"{'clf__max_depth': 2, 'clf__n_estimators': 300}",0.7773109243697479,0.7805907172995781,0.8016877637130801,0.7865298017941353,0.010801608447133413,14
0.9571894009908041,0.049172857776330126,0.1196900208791097,0.007730391168159747,2,400,"{'clf__max_depth': 2, 'clf__n_estimators': 400}",0.7773109243697479,0.7805907172995781,0.8059071729957806,0.7879362715550355,0.012777695002369596,13
0.29248865445454914,0.020962239786332767,0.08540058135986328,0.005459864715073138,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.819327731092437,0.8185654008438819,0.810126582278481,0.8160065714049333,0.004169411704894204,12
0.47946540514628094,0.018954587594306516,0.09726389249165852,0.002798378819580995,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.819327731092437,0.8185654008438819,0.8143459915611815,0.8174130411658335,0.002190948319794006,11
0.6375576655069987,0.03313866339223722,0.11712940533955891,0.009970070704637762,3,300,"{'clf__max_depth': 3, 'clf__n_estimators': 300}",0.819327731092437,0.8185654008438819,0.8185654008438819,0.8188195109267337,0.0003593659255046244,10
0.850662628809611,0.07361786965195354,0.13820528984069824,0.023680629629561942,3,400,"{'clf__max_depth': 3, 'clf__n_estimators': 400}",0.819327731092437,0.8185654008438819,0.8227848101265823,0.8202259806876336,0.001835936259820968,9
0.26049113273620605,0.02323622970033936,0.08632723490397136,0.009293173651810486,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.8151260504201681,0.8312236286919831,0.8185654008438819,0.8216383599853444,0.006921720160390098,7
0.5352518558502197,0.06863454342216689,0.11298036575317383,0.00951206691806555,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.819327731092437,0.8312236286919831,0.8227848101265823,0.8244453899703341,0.004996414647046275,5
0.6942728360493978,0.021459211140942017,0.14054632186889648,0.026895482545792417,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.819327731092437,0.8312236286919831,0.8312236286919831,0.8272583294921344,0.005607779907293225,2
0.8329931100209554,0.015392367559916286,0.10477089881896973,0.007398652230703687,4,400,"{'clf__max_depth': 4, 'clf__n_estimators': 400}",0.819327731092437,0.8312236286919831,0.8227848101265823,0.8244453899703341,0.004996414647046275,5
0.2963326772054036,0.03645152865081916,0.10148922602335612,0.012367937138284872,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.8235294117647058,0.8312236286919831,0.8312236286919831,0.828658889716224,0.0036270886434653675,1
0.5097159544626871,0.05323627588906306,0.08086530367533366,0.014395933496434435,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.8151260504201681,0.8270042194092827,0.8227848101265823,0.8216383599853443,0.004916535743674918,8
0.572667121887207,0.013023982629159611,0.07333167394002278,0.00467062777124306,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.819327731092437,0.8312236286919831,0.8312236286919831,0.8272583294921344,0.005607779907293225,2
0.6465905507405599,0.03547308163178368,0.06396325429280598,0.009846012937401586,5,400,"{'clf__max_depth': 5, 'clf__n_estimators': 400}",0.819327731092437,0.8354430379746836,0.8270042194092827,0.8272583294921344,0.0065814997241207054,2
